gen,cost,min_pressure
0,6965998.7,-50.879284
1,7042665.6,6.554398
2,7042665.6,6.554398
3,7203541.299999999,10.869389
4,7491365.299999999,11.208372
5,7302097.7,12.848445
6,7012797.399999999,5.286681
7,7012797.399999999,5.286681
8,7387131.699999999,5.7760696
9,7719468.799999999,12.83435
10,7214104.7,1.3145455
11,6617011.0,8.239764
12,6889954.4,19.78534
13,6889954.4,19.78534
14,6537189.5,17.251839
15,6537189.5,17.251839
16,6537189.5,17.251839
17,6537189.5,17.251839
18,6537189.5,17.251839
19,6537189.5,17.251839
20,6537189.5,17.251839
21,6537189.5,17.251839
22,6537189.5,17.251839
23,6537189.5,17.251839
24,6537189.5,17.251839
25,6537189.5,17.251839
26,6537189.5,17.251839
27,6537189.5,17.251839
28,6537189.5,17.251839
29,6537189.5,17.251839
30,6537189.5,17.251839
31,6537189.5,17.251839
32,6537189.5,17.251839
33,6537189.5,17.251839
34,6503043.8,18.449358
35,6503043.8,18.449358
36,6503043.8,18.449358
37,6411558.2,17.520441
38,6411558.2,17.520441
39,6411558.2,17.520441
40,6314060.7,16.038658
41,6304814.7,17.498365
42,6251332.5,16.592382
43,6243772.2,15.20882
44,6213186.2,15.169205
45,6197426.0,15.296479
46,6197426.0,15.296479
47,6192463.2,15.221821
48,6192463.2,15.221821
49,6192463.2,15.221821
50,6192463.2,15.221821
51,6192463.2,15.221821
52,6192463.2,15.221821
53,6192463.2,15.221821
54,6192463.2,15.221821
55,6192463.2,15.221821
56,6192463.2,15.221821
57,6192463.2,15.221821
58,6192463.2,15.221821
59,6088930.1,14.933247
60,6114596.1,14.946517
61,6087264.2,15.707203
62,6087264.2,15.707203
63,6087264.2,15.707203
64,6087264.2,15.707203
65,6087264.2,15.707203
66,6087264.2,15.707203
67,6087264.2,15.707203
68,6087264.2,15.707203
69,6087264.2,15.707203
70,6087264.2,15.707203
71,6087264.2,15.707203
72,6087264.2,15.707203
73,6070923.5,17.751862
74,6037730.9,16.389923
75,6037730.9,16.389923
76,6037730.9,16.389923
77,6037730.9,16.389923
78,5974226.5,17.410547
79,5954507.5,15.138363
80,5954507.5,15.138363
81,5954507.5,15.138363
82,5954507.5,15.138363
83,5954507.5,15.138363
84,5954507.5,15.138363
85,5954507.5,15.138363
86,5954507.5,15.138363
87,5954507.5,15.138363
88,5954507.5,15.138363
89,5954507.5,15.138363
90,5954507.5,15.138363
91,5948259.0,15.10385
92,5948259.0,15.10385
93,5948259.0,15.10385
94,5948259.0,15.10385
95,5948259.0,15.10385
96,5948259.0,15.10385
97,5948259.0,15.10385
98,5948259.0,15.10385
99,5943307.7,16.057291
100,5943307.7,16.057291
101,5938789.7,16.251526
102,5938789.7,16.251526
103,5929195.7,16.48273
104,5929195.7,16.48273
105,5929195.7,16.48273
106,5929195.7,16.48273
107,5929195.7,16.48273
108,5924548.2,15.324197
109,5923297.0,15.153375
110,5884072.7,16.80552
111,5884072.7,16.80552
112,5754131.5,-14.3453245
113,5886681.899999999,15.349791
114,5886681.899999999,15.349791
115,5886681.899999999,15.349791
116,5867596.5,16.921738
117,5867596.5,16.921738
118,5867596.5,16.921738
119,5867596.5,16.921738
120,5867596.5,16.921738
121,5867596.5,16.921738
122,5867596.5,16.921738
123,5867596.5,16.921738
124,5867596.5,16.921738
125,5867596.5,16.921738
126,5867596.5,16.921738
127,5867596.5,16.921738
128,5619421.0,0.6233814
129,5931369.9,15.935224
130,5931369.9,15.935224
131,5929887.7,15.441669
132,5929887.7,15.441669
133,5906090.399999999,17.96312
134,5816872.7,14.869762
135,5860579.7,16.187332
136,5860579.7,16.187332
137,5860579.7,16.187332
138,5860579.7,16.187332
139,5838740.8,15.501752
140,5838740.8,15.501752
141,5838740.8,15.501752
142,5838740.8,15.501752
143,5838740.8,15.501752
144,5800642.1,16.119833
145,5782031.6,15.507958
146,5782031.6,15.507958
147,5782031.6,15.507958
148,5782031.6,15.507958
149,5782031.6,15.507958
