Generation,Min Cost (M$),Avg Cost (M$)
0,677.113342,5145.389160
1,589.146667,5559.442383
2,679.988281,4811.975586
3,679.988281,3611.472412
4,1166.248535,3077.021973
5,1166.248535,2774.385498
6,678.408020,2790.115723
7,761.810120,1874.502197
8,560.036926,1946.021484
9,513.891663,1515.114380
10,479.122314,1184.513916
11,304.948029,1014.747437
12,121.483803,1570.460938
13,66.314728,835.621765
14,66.314728,537.182007
15,48.750809,406.681641
16,48.750809,298.286652
17,26.061844,483.454590
18,8.027166,293.654593
19,7.963920,495.991218
20,7.937221,91.495218
21,7.937221,43.897358
22,7.845819,498.568150
23,7.845819,579.893350
24,7.755874,202.483597
25,7.622565,36.923963
26,7.595866,418.022872
27,7.512966,380.693718
28,7.376455,246.059832
29,7.376455,78.888103
30,7.376455,149.148194
31,7.293555,146.482371
32,7.252915,86.850280
33,7.252915,734.340747
34,7.170015,1286.291805
35,7.170015,518.111873
36,7.170015,319.780043
37,7.170015,335.963251
38,7.170015,82.056195
39,7.136427,25.919251
40,7.136427,1287.752120
41,7.136427,16.392353
42,7.136427,524.403755
43,7.136427,222.133308
44,7.084430,110.116841
45,7.087275,224.986860
46,7.090118,187.359624
47,7.090118,2046.933006
48,7.092962,249.407998
49,6.983047,1593.897339
50,6.983047,622.731989
51,6.983047,2358.665099
52,6.983047,4435.771870
53,6.983047,916.051994
54,6.983047,56.612499
55,6.983047,495.943998
56,6.983047,13.384497
57,6.939340,815.183472
58,6.939340,2420.316639
59,6.939340,51.551073
60,6.939340,1280.402697
61,6.939340,130.028467
62,6.939340,247.720923
63,6.909736,4359.815464
64,6.909736,421.022580
65,6.909736,160.652493
66,6.909736,2776.027263
67,6.909736,2079.894366
68,6.909736,3778.276908
69,6.909736,1094.057035
70,6.909736,601.616314
71,6.909736,8.567300
72,6.909736,771.737851
73,6.909736,3995.994760
74,6.909736,1563.091023
75,6.893156,2429.088860
76,6.893156,1147.276131
77,6.893156,208.229220
78,6.893156,72.229091
79,6.893156,4647.238540
80,6.893156,9.422784
81,6.893156,943.039714
82,6.893156,3184.829812
83,6.893156,401.572352
84,6.893156,74.654414
85,6.893156,212.565784
86,6.893156,733.245725
87,6.893156,3668.975466
88,6.893156,1138.210992
89,6.893156,5266.084096
90,6.893156,712.874642
91,6.893156,3422.183968
92,6.893156,69.395511
93,6.893156,230.958708
94,6.893156,2988.434606
95,6.893156,455.048898
96,6.893156,3222.238352
97,6.893156,4085.502362
98,6.893156,1827.569701
99,6.893156,1690.636367
