gen,cost,min_pressure
0,5973929.4,-456.29062
1,4793703.600000001,-589.79553
2,5101689.1,-298.46127
3,5753218.1,-1146.4694
4,5333273.7,-1393.0448
5,5636397.9,-552.2379
6,4905661.300000001,-1162.2609
7,4571708.0,-833.3471
8,5353549.0,-307.8683
9,5078014.800000001,-1143.8252
10,5233316.6,-251.75383
11,5151560.0,-657.6102
12,5130658.2,-1311.1615
13,5224291.0,-616.9974
14,5148368.5,-1272.0782
15,4617822.5,-1225.3954
16,4816710.600000001,-1184.8689
17,4344130.3,-1068.5367
18,4972540.600000001,-682.49243
19,4618933.2,-695.69806
20,5132202.2,-3415.0613
21,4216532.8,-13793.611
22,4305079.3,-2310.8835
23,4084361.1,-4445.574
24,4640743.0,-778.5603
25,4055964.6999999997,-4581.7573
26,4324811.4,-4052.5317
27,3763910.5,-1824.0999
28,4585968.100000001,-2146.871
29,3694353.1999999997,-3879.6257
30,4208427.600000001,-2480.927
31,4149247.5,-3615.4424
32,3891807.1999999997,-3446.4995
33,3978632.1999999997,-13298.8
34,3917839.8,-1668.7491
35,4146179.7,-13020.169
36,3616798.3,-3671.2166
37,4038551.6,-4315.8667
38,3926871.7,-1712.4277
39,3926723.5,-13510.692
40,3774916.1,-13423.226
41,3764253.1999999997,-13053.946
42,3634547.3,-13718.063
43,3919326.4,-13127.508
44,3489879.1,-13720.949
45,3639020.3,-4746.2007
46,3371134.2,-4221.4004
47,3753881.1999999997,-2101.7705
48,3677657.3,-3883.837
49,3144237.1999999997,-2970.8071
50,3173921.2,-14655.528
51,3703964.1,-3688.7463
52,3403777.1,-14150.571
53,3313745.3,-4540.1147
54,3748115.6,-2294.864
55,3206672.2,-13768.001
56,3237596.9,-4967.316
57,3169330.7,-14222.851
58,3216161.4,-13336.96
59,3081764.3,-3140.9995
60,2833628.0,-13626.887
61,2900082.9,-4226.618
62,3494875.7,-13440.315
63,3175366.8,-14353.6
64,3090844.1999999997,-15434.344
65,2685220.0,-15357.475
66,3230540.1,-13881.893
67,3145396.2,-13857.337
68,3044257.7,-14637.364
69,2727708.1,-15475.22
70,3144928.9,-14618.288
71,2720086.9,-16123.901
72,2749635.0,-14679.044
73,3045557.4,-14980.134
74,3046471.4000000004,-13522.561
75,3271371.0,-2232.3604
76,3085412.7,-14315.769
77,2815478.6999999997,-14983.332
78,2784011.8,-3322.2007
79,2689375.4,-14334.972
80,2781237.0,-5283.4062
81,2661513.1,-15683.077
82,2828089.1999999997,-6744.402
83,2568971.3,-16534.31
84,2626017.1,-14954.801
85,2722685.7,-6013.5684
86,2707391.8,-16262.201
87,2717423.6999999997,-6487.3374
88,2415154.2,-16340.301
89,2726306.6,-6764.211
90,2745040.7,-6494.9873
91,2771373.3,-5936.588
92,2452341.4,-7131.054
93,2363826.4,-16841.025
94,2539881.4,-16046.706
95,2415479.5,-6420.135
96,2297300.0,-16828.055
97,2312951.4,-16393.406
98,2599766.8,-15509.479
99,2332231.2,-6626.9087
100,2435856.0,-16280.756
101,2575335.5,-16755.582
102,2776695.4,-14374.793
103,2415303.2,-16253.685
104,2681182.1999999997,-16406.098
105,3056827.4,-15084.375
106,2477020.7,-15484.203
107,2419156.5,-15598.729
108,2370921.4,-15924.142
109,2453450.3,-6329.9126
110,2292588.1999999997,-16941.86
111,2368562.0999999996,-15561.488
112,2336856.3,-15137.603
113,2345909.3,-15447.223
114,1985137.6,-16229.589
115,2169938.9,-16730.723
116,2059654.6,-16831.65
117,2555304.8,-3820.1333
118,2104123.1,-16307.874
119,2127739.4,-16688.834
120,2098363.7,-7796.2573
121,2228233.6999999997,-15900.275
122,1985080.4000000001,-17653.871
123,2104904.6,-16058.165
124,2291402.6999999997,-16457.652
125,2239174.8,-16108.615
126,2374118.6999999997,-6426.128
127,2263963.8,-16062.367
128,2030134.0,-15907.396
129,2048855.4,-5906.761
130,1992635.6,-16436.064
131,2026869.2,-15778.208
132,2013722.6,-16535.273
133,1984987.9,-16213.152
134,2005957.4,-7799.058
135,2281055.5999999996,-15475.713
136,2027913.7,-16822.258
137,2108344.6,-16377.325
138,2338416.6999999997,-15427.414
139,2084103.6,-7732.903
140,2162697.2,-15813.209
141,2389836.4,-15674.191
142,2212599.5999999996,-6566.993
143,2073289.1,-7542.3086
144,1968705.7,-17503.852
145,2042715.7,-16782.434
146,2109721.1,-15711.335
147,1992568.7,-7533.617
148,2152229.6,-15967.13
149,1881620.6,-17275.74
