gen,cost,min_pressure
0,7041778.4,-180.29533
1,4856789.2,-716.7438
2,5245966.7,-519.9165
3,4714601.7,-3322.6326
4,4449804.4,-1320.8054
5,5586739.2,-1257.9441
6,5543493.800000001,-440.40854
7,5270535.4,-1324.129
8,5398111.7,-1198.5126
9,4593741.4,-698.1404
10,5199651.1,-640.6901
11,5706994.8,-223.09563
12,4938971.5,-535.8382
13,5417343.2,-739.4447
14,4608006.399999999,-1435.6372
15,4698976.7,-1436.4346
16,4451004.2,-1397.3529
17,4671535.399999999,-337.9398
18,4170378.7,-1330.3069
19,4765160.7,-1308.559
20,4932254.7,-1233.3081
21,4596232.2,-1736.9792
22,4260428.4,-1408.9366
23,4147391.2,-2399.1484
24,3712454.1,-2539.3413
25,4363277.9,-1929.5295
26,4687321.800000001,-987.0145
27,4796746.899999999,-893.6748
28,4028289.4000000004,-1534.9733
29,4453617.0,-1507.1953
30,4165050.4,-1965.6271
31,3878995.6999999997,-2583.917
32,3691557.2,-2035.7816
33,3841062.9,-1712.0675
34,4508640.5,-1129.938
35,4044680.0,-1638.811
36,4208966.1,-2350.0498
37,3947498.5,-2954.5818
38,4013031.4,-1426.4939
39,3859282.7,-2061.461
40,3634431.1999999997,-3185.3628
41,3607697.1999999997,-1746.6207
42,3864890.2,-4951.6357
43,3813063.6,-4533.6504
44,4185133.9,-2086.7417
45,3928016.6999999997,-1911.5667
46,3601494.1999999997,-1881.857
47,3805477.0999999996,-2246.335
48,3610701.4,-4560.1196
49,3569918.6999999997,-2007.1986
50,3625345.0,-4820.787
51,3745002.6999999997,-3932.3699
52,3115905.4,-4188.64
53,3937766.9,-1437.6901
54,3405899.2,-2986.9937
55,3147554.2,-14546.655
56,3675933.7,-4797.0215
57,3604937.7,-2781.2424
58,3680426.5999999996,-3126.0222
59,4135777.1999999997,-3934.4727
60,3226941.5,-3157.3982
61,3128651.3,-4190.067
62,3584891.8999999994,-2403.7766
63,2862176.2,-15116.913
64,3242657.6,-2498.232
65,3062193.4,-5468.158
66,3084647.9,-3209.4917
67,3195462.7,-4096.5566
68,3500263.0,-2982.905
69,2900069.7,-2480.5706
70,2971867.8,-5207.918
71,3014629.5999999996,-3355.3533
72,3614292.0999999996,-1242.3849
73,2917625.8,-1378.487
74,3345927.1,-14445.428
75,3156380.3000000003,-4498.8687
76,3199036.9,-1662.9259
77,2787499.1999999997,-5088.0396
78,3144496.1999999997,-2572.7214
79,2911737.6999999997,-2283.2969
80,2853233.4,-4775.3604
81,2627075.5,-4090.513
82,3161882.4,-3286.7678
83,2824037.0999999996,-2681.7346
84,2788291.0,-3237.9658
85,2863614.0,-3222.5552
86,2920420.4,-4740.786
87,2599951.0999999996,-5090.3027
88,2751375.9000000004,-5545.751
89,2530585.8,-5974.3467
90,2675564.3,-4061.3843
91,2788232.6999999997,-3214.8748
92,2940317.8,-2138.0679
93,2342014.6999999997,-6123.9507
94,2528799.4,-4105.897
95,2440077.1999999997,-3419.5283
96,2386098.6999999997,-5805.4775
97,2302542.7,-5918.8276
98,2768186.5,-3698.299
99,2240801.5999999996,-4245.7495
100,2157184.5,-5914.7373
101,2610588.3,-5193.7075
102,2750468.0,-2786.8271
103,2284375.6,-6062.6313
104,2170473.6999999997,-5199.937
105,2182375.5,-5864.243
106,2356045.5999999996,-3394.8076
107,2604310.3,-3041.271
108,2420505.4,-6340.359
109,2240266.8,-5454.022
110,2301882.0,-5305.049
111,2196274.1999999997,-6866.533
112,1971693.7,-17075.738
113,2337946.1999999997,-14767.165
114,2251790.1999999997,-6170.245
115,2381402.1999999997,-5947.436
116,2349656.5,-6213.366
117,2159925.8,-6690.0894
118,2183505.4,-7192.5586
119,2167326.8,-6765.7065
120,2026680.2,-6935.872
121,2087700.4,-6206.2246
122,2125150.3,-5793.876
123,2057517.7,-7067.794
124,2161435.6999999997,-3365.6804
125,2233207.5,-6795.0083
126,2167695.1999999997,-6816.7227
127,2159658.1999999997,-16665.805
128,2221722.9,-6657.744
129,1967472.2,-7740.555
130,2015578.7,-16676.537
131,2041189.6,-16973.758
132,2018566.7,-7052.6597
133,2088643.3,-3604.0962
134,2170948.6999999997,-5743.2466
135,1967993.2,-7788.866
136,2076513.6,-6358.8413
137,2217527.0,-15949.026
138,2001459.1,-16287.735
139,2010889.4000000001,-17050.438
140,2070844.1,-7397.706
141,2132538.7,-16438.473
142,2000301.7,-7314.706
143,2011350.1,-15622.038
144,2076541.2,-15899.184
145,2093289.2,-6735.738
146,2095209.7,-7269.4194
147,2083421.2,-7281.649
148,2164832.1999999997,-16028.856
149,1981287.4,-16412.822
