gen,cost,min_pressure
0,5753142.300000001,-98.57937
1,5231958.899999999,-464.07608
2,5880512.2,-514.04004
3,5422184.9,-1172.9545
4,5567629.9,-1313.0615
5,5021981.4,-354.69678
6,4988143.6,-1234.6057
7,4747703.9,-3480.2803
8,5715404.6,-1373.3392
9,5179188.9,-1452.4482
10,5050336.0,-386.5926
11,5222345.7,-3169.4988
12,4748226.100000001,-757.6329
13,4944282.2,-411.71704
14,5344879.6,-837.24786
15,4599211.100000001,-647.66113
16,4901964.300000001,-1234.7198
17,5509849.800000001,-493.20425
18,5033522.0,-3405.686
19,4353186.100000001,-1540.2867
20,4544645.800000001,-1410.6174
21,5098360.800000001,-3516.7422
22,4416129.100000001,-568.3915
23,4746293.7,-3642.2625
24,4063482.8,-1714.8291
25,3937928.1,-997.958
26,4621923.600000001,-908.5358
27,4045779.5,-1828.348
28,4882613.1,-1049.8572
29,4633701.800000001,-2633.8528
30,3809710.1,-2468.9324
31,3592261.0999999996,-1162.5729
32,4167827.3,-763.52673
33,4273950.2,-2493.4497
34,3959185.1,-986.3067
35,4282328.1,-1916.5906
36,3785651.6999999997,-2001.1284
37,3667818.5,-655.68195
38,3606967.3,-2647.066
39,3776577.0,-3559.3623
40,3714383.1999999997,-1248.2075
41,3408113.1999999997,-3112.5442
42,3680457.1,-2264.0645
43,3217631.1,-14285.116
44,3795240.1,-4642.0386
45,3636269.6999999997,-2048.6387
46,4085928.1999999997,-1947.4205
47,3517195.1,-1712.6127
48,4207960.8,-2618.6743
49,3570538.5999999996,-1495.3533
50,3339515.4,-4014.5156
51,3446408.0999999996,-2796.1252
52,3234633.8,-2791.513
53,3263259.0999999996,-1885.7262
54,3668467.4,-1089.6901
55,3454478.1999999997,-5236.699
56,3224352.8,-2198.0447
57,3762507.5999999996,-1104.1467
58,3160217.4,-4102.871
59,2944240.5999999996,-2393.9883
60,3080489.1,-1938.4034
61,3109852.8,-3119.3984
62,3153707.4,-14167.029
63,2607995.5999999996,-4469.867
64,3291888.5999999996,-2210.5718
65,3313493.6,-2768.6606
66,2907120.0999999996,-4605.2363
67,2894728.1999999997,-2779.6445
68,2667914.0999999996,-3986.403
69,2744805.6999999997,-5513.463
70,2674371.8,-4545.508
71,2876612.5999999996,-14134.375
72,2665162.0999999996,-6123.2354
73,2573131.5999999996,-14745.745
74,2651656.5999999996,-4736.0117
75,3043439.7,-5313.064
76,2826276.0999999996,-4562.0317
77,2455293.5999999996,-16279.104
78,2576162.0999999996,-4757.521
79,2629752.5999999996,-3679.2812
80,2923469.6,-15891.763
81,2722585.5999999996,-6097.538
82,2822947.5999999996,-5625.616
83,2732696.0999999996,-2503.0051
84,2487249.5999999996,-4687.0156
85,2738799.0999999996,-6164.866
86,2377602.5999999996,-6627.131
87,2366671.6999999997,-15481.148
88,2552054.0999999996,-16512.646
89,2359360.5999999996,-16033.648
90,2533618.3,-16617.832
91,2598912.5999999996,-4434.5386
92,2368718.0999999996,-14731.268
93,2293483.8,-7444.721
94,2371647.0999999996,-15873.452
95,2448002.3,-14790.891
96,2711236.3,-5517.912
97,2980668.7,-14586.933
98,2292311.3,-16223.361
99,2493945.3,-3212.458
100,2602721.0999999996,-2587.8362
101,2335909.8,-6668.717
102,2198334.5999999996,-16535.725
103,2233243.8,-16649.643
104,2308930.0999999996,-15800.85
105,2441037.0999999996,-15186.996
106,2189095.5999999996,-16312.835
107,2268268.1999999997,-15451.325
108,2357715.0999999996,-15737.764
109,2277275.5999999996,-16831.074
110,2219608.8000000003,-15870.112
111,2318671.0999999996,-16043.308
112,2109585.2,-16448.906
113,2179816.1,-16688.281
114,2201343.8,-16234.02
115,2337780.1999999997,-6449.607
116,2026601.6,-17499.092
117,2194417.9,-17054.92
118,2095488.6,-7543.7915
119,2044557.6,-17040.307
120,2264180.9,-16254.906
121,2232075.0999999996,-7302.2617
122,2221944.0999999996,-7022.38
123,2049925.2,-16614.342
124,2140581.6,-16593.281
125,2292615.6999999997,-6569.212
126,2169171.1999999997,-16409.826
127,2081802.6,-17151.9
128,2125258.6,-17100.332
129,2123241.1,-15889.286
130,2448018.4,-15762.355
131,1997569.6,-16642.67
132,2216586.0999999996,-16670.527
133,2048143.1,-16986.734
134,1982767.6,-17057.693
135,2301741.5999999996,-17477.098
136,2036163.1,-16970.934
137,2119711.2,-17046.848
138,2124324.6,-16424.225
139,2019966.2,-17069.926
140,2050656.1,-17178.379
141,2091361.6,-17359.65
142,1938241.6,-17005.75
143,2057872.7,-16879.682
144,1977833.6,-8065.0522
145,2008177.7,-16938.617
146,2108967.2,-16002.688
147,1942308.8,-17195.398
148,2032107.6,-16309.879
149,2154593.1,-16231.376
