gen,cost,min_pressure
0,6345071.2,-155.09755
1,5345146.899999999,-308.8362
2,5969477.7,-211.15244
3,7020104.6,-198.78891
4,6894325.1,-226.68321
5,6199600.899999999,-111.78419
6,6331967.7,-83.07188
7,6909413.699999999,-50.12643
8,5805039.2,-255.1561
9,6659570.6,-76.14608
10,6259252.2,-95.43782
11,7071373.2,-49.057987
12,6669249.7,-41.40211
13,6752686.0,-35.868603
14,5879250.399999999,-52.65022
15,6143989.300000001,-109.560394
16,5854395.9,-211.23831
17,5693494.800000001,-41.59822
18,6652239.199999999,-115.13961
19,5750308.800000001,-123.46662
20,6533778.6,-50.712185
21,6211699.8,-34.589794
22,5858822.5,-134.18533
23,6253882.4,-122.81278
24,6430088.9,-109.47467
25,6749179.9,-22.76617
26,6304318.7,-41.305725
27,6131604.5,-15.099879
28,6770432.7,-27.72273
29,6753385.7,-26.234118
30,6782778.7,-19.619514
31,6839950.800000001,-15.177795
32,6498347.5,3.6298711
33,6498347.5,3.6298711
34,6823931.4,0.8267331
35,6853396.4,8.001666
36,6681139.800000001,-13.971461
37,6802484.300000001,-18.5429
38,6652221.4,-22.415813
39,6711897.4,-11.580836
40,6846349.9,-5.579525
41,6958509.4,-3.253232
42,6852599.4,-4.7924414
43,6673446.9,-1.1094543
44,6925699.9,4.32572
45,6926179.4,-0.7474485
46,6938169.9,-0.1137873
47,6839843.4,17.340374
48,6963491.4,16.697903
49,7142103.9,18.812353
50,7142103.9,18.812353
51,6954511.300000001,13.852709
52,6952282.7,15.025573
53,7092546.9,2.4422271
54,7097552.300000001,17.950932
55,6919627.9,24.106138
56,6988489.9,21.273176
57,7041605.9,20.917606
58,6915841.6,19.821783
59,7068723.3,23.65172
60,6911186.2,24.497284
61,7265818.9,25.649902
62,6768906.2,29.077095
63,6768906.2,29.077095
64,7307638.7,29.335238
65,7151023.7,29.299583
66,7098903.2,28.837864
67,7061075.4,27.564983
68,7128112.4,28.00994
69,7269614.9,32.249928
70,7104810.2,30.522802
71,7104810.2,30.522802
72,7104810.2,30.522802
73,7104810.2,30.522802
74,6937413.3,30.684229
75,6937413.3,30.684229
76,6935800.3,30.731636
77,6894033.2,30.158825
78,6818167.7,30.273983
79,6818167.7,30.273983
80,6818167.7,30.273983
81,6818167.7,30.273983
82,6818167.7,30.273983
83,6818167.7,30.273983
84,6818167.7,30.273983
85,6818167.7,30.273983
86,6818167.7,30.273983
87,6816847.4,30.24013
88,6804916.7,31.181047
89,6804916.7,31.181047
90,6717215.8,30.3638
91,6717215.8,30.3638
92,6717215.8,30.3638
93,6717215.8,30.3638
94,6717215.8,30.3638
95,6717215.8,30.3638
96,6697474.6,30.23105
97,6697474.6,30.23105
98,6697474.6,30.23105
99,6659031.1,30.125792
100,6659031.1,30.125792
101,6659031.1,30.125792
102,6659031.1,30.125792
