gen,cost,min_pressure
0,5694505.1,-175.42767
1,5692369.1,-199.40977
2,5456980.1,-229.0513
3,6357749.6,-253.75108
4,5814101.6,-144.38525
5,5814101.6,-144.38525
6,5853309.0,-93.54989
7,6299585.399999999,-115.14223
8,6227022.399999999,-118.11851
9,6145175.899999999,-113.3108
10,5867793.2,-163.86919
11,7049159.899999999,-73.9816
12,6124174.399999999,-99.68642
13,6222139.399999999,-79.587036
14,6068809.999999999,-64.468155
15,6492943.199999999,-77.18748
16,6330315.1,-80.91471
17,6580563.899999999,-140.50645
18,5919417.5,-91.60388
19,6375432.7,-138.49353
20,6335202.899999999,-69.00372
21,5880216.1,-45.56509
22,6876843.2,-223.33276
23,6964732.7,-108.575134
24,6373224.899999999,-50.186207
25,6213670.399999999,-37.805286
26,6168342.6,-48.26742
27,6227709.1,-26.752686
28,6850317.899999999,-5.5073414
29,6694754.899999999,-3.6040704
30,6504378.6,-56.69203
31,6578206.6,-42.45329
32,6725707.1,-40.34564
33,6738225.3,-37.589123
34,6314039.4,-17.96382
35,6659206.899999999,-27.208065
36,6537610.300000001,-23.830942
37,6655206.1,-20.309824
38,6576027.8,-12.916687
39,6494585.7,-17.138058
40,6590204.300000001,-40.732605
41,6426002.8,5.8573813
42,6631150.2,-21.01128
43,6753620.899999999,-12.810847
44,6731357.7,-6.6112304
45,6730182.2,-5.8989882
46,6932511.800000001,-2.2229183
47,6658219.6,6.6110454
48,6823280.2,7.6562624
49,6849888.6,7.6578007
50,6700114.9,5.3158774
51,6778454.300000001,5.4465337
52,6910288.4,-1.1882414
53,6757475.2,3.331254
54,6466048.8,7.4685206
55,6600185.4,6.2910724
56,6324056.7,10.872144
57,7294763.4,18.895956
58,7240810.800000001,17.206211
59,6959866.8,18.961855
60,6916339.2,13.592692
61,6779721.6,14.146602
62,6825716.2,18.393261
63,7063775.1,22.816452
64,7127021.7,22.904928
65,7137516.2,27.418089
66,6953511.7,22.851133
67,6977341.2,21.401217
68,7039863.7,16.52485
69,6989000.1,24.46932
70,7097963.1,28.525072
71,7127255.6,27.70898
72,7237125.3,29.931995
73,7159303.3,29.033363
74,7541796.8,33.910404
75,7227274.3,30.847233
76,7004413.2,30.974632
77,7004413.2,30.974632
78,7004413.2,30.974632
79,7004413.2,30.974632
80,6990455.9,33.457424
81,6990455.9,33.457424
82,6990455.9,33.457424
83,6965066.4,30.099691
84,6965066.4,30.099691
85,6877048.9,30.43897
86,6871079.0,31.785748
87,6825143.2,30.618591
88,6788101.5,32.75044
89,6761732.4,30.579762
90,6761732.4,30.579762
91,6761732.4,30.579762
92,6761732.4,30.579762
93,6740937.9,30.655836
94,6740937.9,30.655836
95,6740937.9,30.655836
96,6740937.9,30.655836
97,6740937.9,30.655836
98,6717564.3,30.87689
99,6717564.3,30.87689
100,6717564.3,30.87689
101,6717564.3,30.87689
102,6717564.3,30.87689
103,6717564.3,30.87689
104,6717564.3,30.87689
105,6706032.5,30.43563
106,6665710.5,30.105818
107,6665710.5,30.105818
108,6665710.5,30.105818
109,6665710.5,30.105818
110,6665710.5,30.105818
111,6641648.2,31.738249
112,6641648.2,31.738249
113,6612496.9,31.076254
114,6612496.9,31.076254
115,6596442.4,34.177197
116,6596442.4,34.177197
117,6596442.4,34.177197
118,6596442.4,34.177197
119,6587083.8,30.210426
120,6583383.3,30.210566
121,6477863.0,30.959772
122,6477863.0,30.959772
123,6477863.0,30.959772
124,6477863.0,30.959772
125,6477863.0,30.959772
126,6465552.7,30.003891
127,6465552.7,30.003891
128,6465552.7,30.003891
129,6465552.7,30.003891
130,6462599.8,31.62149
131,6462599.8,31.62149
132,6462599.8,31.62149
133,6462599.8,31.62149
134,6457457.4,30.528395
135,6457457.4,30.528395
136,6452185.3,31.602528
137,6452185.3,31.602528
138,6423370.5,30.23848
139,6423370.5,30.23848
140,6423370.5,30.23848
141,6373516.8,30.412651
142,6373516.8,30.412651
143,6373516.8,30.412651
144,6373516.8,30.412651
145,6373516.8,30.412651
146,6373516.8,30.412651
147,6373516.8,30.412651
148,6373516.8,30.412651
149,6356753.8,30.002304
150,6356753.8,30.002304
151,6356753.8,30.002304
152,6356753.8,30.002304
153,6356753.8,30.002304
154,6356753.8,30.002304
155,6356753.8,30.002304
156,6356753.8,30.002304
157,6356753.8,30.002304
158,6356753.8,30.002304
159,6356753.8,30.002304
160,6356753.8,30.002304
161,6334431.7,30.167704
162,6334431.7,30.167704
163,6334431.7,30.167704
164,6290770.8,30.559528
165,6290770.8,30.559528
166,6290770.8,30.559528
167,6290770.8,30.559528
168,6290770.8,30.559528
169,6290770.8,30.559528
170,6290770.8,30.559528
171,6290770.8,30.559528
172,6290770.8,30.559528
173,6290770.8,30.559528
174,6290770.8,30.559528
175,6290770.8,30.559528
176,6290770.8,30.559528
177,6290770.8,30.559528
178,6290770.8,30.559528
179,6290770.8,30.559528
180,6256090.9,30.047731
181,6256090.9,30.047731
182,6256090.9,30.047731
183,6256090.9,30.047731
184,6256090.9,30.047731
185,6256090.9,30.047731
186,6256090.9,30.047731
187,6256090.9,30.047731
188,6256090.9,30.047731
189,6256090.9,30.047731
190,6256090.9,30.047731
191,6256090.9,30.047731
192,6256090.9,30.047731
193,6256090.9,30.047731
194,6256090.9,30.047731
195,6256090.9,30.047731
196,6256090.9,30.047731
197,6256090.9,30.047731
198,6256090.9,30.047731
199,6256090.9,30.047731
200,6256090.9,30.047731
201,6256090.9,30.047731
202,6256090.9,30.047731
203,6256090.9,30.047731
204,6256090.9,30.047731
205,6256090.9,30.047731
206,6256090.9,30.047731
207,6256090.9,30.047731
208,6224846.2,30.898993
209,6224846.2,30.898993
210,6224846.2,30.898993
211,6224846.2,30.898993
212,6224846.2,30.898993
213,6224846.2,30.898993
214,6224846.2,30.898993
215,6224846.2,30.898993
216,6224846.2,30.898993
217,6224846.2,30.898993
218,6224846.2,30.898993
219,6224846.2,30.898993
220,6224846.2,30.898993
221,6224846.2,30.898993
222,6224846.2,30.898993
223,6224846.2,30.898993
224,6224846.2,30.898993
225,6224846.2,30.898993
226,6224846.2,30.898993
227,6224846.2,30.898993
228,6224846.2,30.898993
229,6224846.2,30.898993
230,6224846.2,30.898993
231,6224846.2,30.898993
232,6224846.2,30.898993
233,6224846.2,30.898993
234,6224846.2,30.898993
235,6224846.2,30.898993
236,6224846.2,30.898993
237,6224846.2,30.898993
238,6224846.2,30.898993
239,6224846.2,30.898993
240,6224846.2,30.898993
241,6224846.2,30.898993
242,6224846.2,30.898993
243,6224846.2,30.898993
244,6224846.2,30.898993
245,6224846.2,30.898993
246,6224846.2,30.898993
247,6224846.2,30.898993
248,6224846.2,30.898993
249,6224846.2,30.898993
250,6224846.2,30.898993
251,6224846.2,30.898993
252,6224846.2,30.898993
253,6224846.2,30.898993
254,6224846.2,30.898993
255,6224846.2,30.898993
256,6224846.2,30.898993
257,6224846.2,30.898993
258,6224846.2,30.898993
259,6224846.2,30.898993
260,6299369.2,30.28609
261,6224846.2,30.898993
262,6224846.2,30.898993
263,6224846.2,30.898993
264,6224846.2,30.898993
265,6224846.2,30.898993
266,6224846.2,30.898993
267,6224846.2,30.898993
268,6224846.2,30.898993
269,6224846.2,30.898993
270,6224846.2,30.898993
271,6224846.2,30.898993
272,6224846.2,30.898993
273,6224846.2,30.898993
274,6224846.2,30.898993
275,6224846.2,30.898993
276,6224846.2,30.898993
277,6224846.2,30.898993
278,6224846.2,30.898993
279,6224846.2,30.898993
280,6224846.2,30.898993
281,6224846.2,30.898993
282,6224846.2,30.898993
283,6224846.2,30.898993
284,6224846.2,30.898993
285,6224846.2,30.898993
286,6224846.2,30.898993
287,6224846.2,30.898993
288,6224846.2,30.898993
289,6224846.2,30.898993
290,6224846.2,30.898993
291,6224846.2,30.898993
292,6224846.2,30.898993
293,6224846.2,30.898993
294,6224846.2,30.898993
295,6224846.2,30.898993
296,6224846.2,30.898993
297,6224846.2,30.898993
298,6224846.2,30.898993
299,6224846.2,30.898993
300,6224846.2,30.898993
301,6224846.2,30.898993
302,6224846.2,30.898993
303,6224846.2,30.898993
304,6224846.2,30.898993
305,6224846.2,30.898993
306,6224846.2,30.898993
307,6224846.2,30.898993
308,6224846.2,30.898993
309,6224846.2,30.898993
310,6224846.2,30.898993
311,6224846.2,30.898993
312,6224846.2,30.898993
