Run,Cost,Pressure,Feasible,Time
1,6121309.9,30.036354,True,294.1059527397156
2,6406893.8,30.031723,True,213.25516986846924
3,6395065.8,30.676556,True,129.03122854232788
4,6405966.1,30.853863,True,110.97420692443848
5,6224846.2,30.898993,True,129.1351854801178
