gen,cost,min_pressure
0,6263489.300000001,15.562267
1,6086350.100000001,16.32427
2,6086350.100000001,16.32427
3,6086350.100000001,16.32427
4,6086350.100000001,16.32427
5,6086350.100000001,16.32427
6,6086350.100000001,16.32427
7,6086350.100000001,16.32427
8,6086350.100000001,16.32427
9,6086350.100000001,16.32427
10,6086350.100000001,16.32427
11,6060844.9,15.029538
12,6060844.9,15.029538
13,6047134.7,15.106659
14,6047134.7,15.106659
15,6047134.7,15.106659
16,6019511.600000001,15.2044
17,6019511.600000001,15.2044
18,5967509.9,17.642874
19,5908086.5,15.117881
20,5908086.5,15.117881
21,5908086.5,15.117881
22,5908086.5,15.117881
23,5908086.5,15.117881
24,5908086.5,15.117881
25,5856014.2,15.116831
26,5856014.2,15.116831
27,5856014.2,15.116831
28,5856014.2,15.116831
29,5856014.2,15.116831
30,5856014.2,15.116831
31,5856014.2,15.116831
32,5856014.2,15.116831
33,5856014.2,15.116831
34,5856014.2,15.116831
35,5856014.2,15.116831
36,5856014.2,15.116831
37,5856014.2,15.116831
38,5741687.3,-2.7842076
39,5868715.5,15.93914
40,5868715.5,15.93914
41,5866000.0,16.673506
42,5866000.0,16.673506
43,5845440.7,15.493765
44,5814635.899999999,17.27301
45,5790255.5,16.081947
46,5790255.5,16.081947
47,5770662.5,15.240821
48,5770662.5,15.240821
49,5723283.6,16.28841
50,5723283.6,16.28841
51,5538009.899999999,-8.432494
52,5740076.899999999,15.089623
53,5740076.899999999,15.089623
54,5740076.899999999,15.089623
55,5740076.899999999,15.089623
56,5740076.899999999,15.089623
57,5740076.899999999,15.089623
58,5740076.899999999,15.089623
59,5728382.899999999,15.83209
60,5728382.899999999,15.83209
61,5728382.899999999,15.83209
62,5728382.899999999,15.83209
63,5728382.899999999,15.83209
64,5728382.899999999,15.83209
65,5728382.899999999,15.83209
66,5728382.899999999,15.83209
67,5728382.899999999,15.83209
68,5728382.899999999,15.83209
69,5728382.899999999,15.83209
70,5728382.899999999,15.83209
71,5728382.899999999,15.83209
72,5728382.899999999,15.83209
73,5728382.899999999,15.83209
74,5728382.899999999,15.83209
75,5721255.6,15.794045
76,5705616.899999999,15.936225
77,5705616.899999999,15.936225
78,5705616.899999999,15.936225
79,5670765.899999999,15.965448
80,5670765.899999999,15.965448
81,5670765.899999999,15.965448
82,5670765.899999999,15.965448
83,5670765.899999999,15.965448
84,5670765.899999999,15.965448
85,5670765.899999999,15.965448
86,5670765.899999999,15.965448
87,5670765.899999999,15.965448
88,5670765.899999999,15.965448
89,5670765.899999999,15.965448
90,5670765.899999999,15.965448
91,5670765.899999999,15.965448
92,5670765.899999999,15.965448
93,5669703.399999999,16.252024
94,5669703.399999999,16.252024
95,5669703.399999999,16.252024
96,5669703.399999999,16.252024
97,5669145.8,16.80842
98,5669145.8,16.80842
99,5645940.8,16.927977
100,5645940.8,16.927977
101,5645940.8,16.927977
102,5645940.8,16.927977
103,5645940.8,16.927977
104,5645940.8,16.927977
105,5645940.8,16.927977
106,5609499.399999999,16.260489
107,5609499.399999999,16.260489
108,5609499.399999999,16.260489
109,5609499.399999999,16.260489
110,5609499.399999999,16.260489
111,5609499.399999999,16.260489
112,5609499.399999999,16.260489
113,5609499.399999999,16.260489
114,5609499.399999999,16.260489
115,5609499.399999999,16.260489
116,5609499.399999999,16.260489
117,5609499.399999999,16.260489
118,5609499.399999999,16.260489
119,5609499.399999999,16.260489
120,5609499.399999999,16.260489
121,5609499.399999999,16.260489
122,5609499.399999999,16.260489
123,5591663.6,15.912866
124,5591663.6,15.912866
125,5591663.6,15.912866
126,5591663.6,15.912866
127,5591663.6,15.912866
128,5591663.6,15.912866
129,5591663.6,15.912866
130,5591663.6,15.912866
131,5591663.6,15.912866
132,5591663.6,15.912866
133,5591663.6,15.912866
134,5591663.6,15.912866
135,5591663.6,15.912866
136,5591663.6,15.912866
137,5591663.6,15.912866
138,5591663.6,15.912866
139,5591663.6,15.912866
140,5591663.6,15.912866
141,5591663.6,15.912866
142,5591663.6,15.912866
143,5591663.6,15.912866
144,5591663.6,15.912866
145,5591663.6,15.912866
146,5590286.6,15.929574
147,5590286.6,15.929574
148,5590286.6,15.929574
149,5590286.6,15.929574
