gen,cost,min_pressure
0,6178955.600000001,16.724125
1,6178955.600000001,16.724125
2,6178955.600000001,16.724125
3,6155182.0,17.795721
4,6155182.0,17.795721
5,6155182.0,17.795721
6,6155182.0,17.795721
7,6155182.0,17.795721
8,6155182.0,17.795721
9,6117372.300000001,16.360243
10,6117372.300000001,16.360243
11,6117372.300000001,16.360243
12,6117372.300000001,16.360243
13,6117372.300000001,16.360243
14,6117372.300000001,16.360243
15,6020495.0,17.164757
16,5983235.4,18.535765
17,5983235.4,18.535765
18,5983235.4,18.535765
19,5983235.4,18.535765
20,5983235.4,18.535765
21,5983235.4,18.535765
22,5983235.4,18.535765
23,5983235.4,18.535765
24,5983235.4,18.535765
25,5983235.4,18.535765
26,5983235.4,18.535765
27,5902088.800000001,15.194669
28,5902088.800000001,15.194669
29,5894729.6,16.332087
30,5847024.6,15.034476
31,5847024.6,15.034476
32,5847024.6,15.034476
33,5847024.6,15.034476
34,5847024.6,15.034476
35,5847024.6,15.034476
36,5847024.6,15.034476
37,5835149.0,15.477184
38,5835149.0,15.477184
39,5834336.6,15.377025
40,5813297.2,15.286408
41,5813297.2,15.286408
42,5813297.2,15.286408
43,5813297.2,15.286408
44,5813297.2,15.286408
45,5813297.2,15.286408
46,5813297.2,15.286408
47,5792407.8,16.355448
48,5747646.8,16.355413
49,5732483.8,15.11213
50,5732483.8,15.11213
51,5732483.8,15.11213
52,5732483.8,15.11213
53,5732483.8,15.11213
54,5730574.9,16.003305
55,5730574.9,16.003305
56,5730574.9,16.003305
57,5727067.6,15.231141
58,5727067.6,15.231141
59,5727067.6,15.231141
60,5727067.6,15.231141
61,5727067.6,15.231141
62,5727067.6,15.231141
63,5727067.6,15.231141
64,5696146.1,15.320093
65,5696146.1,15.320093
66,5691719.8,16.214346
67,5691719.8,16.214346
68,5681424.1,15.04402
69,5681424.1,15.04402
70,5628843.6,15.298222
71,5607905.1,15.047318
72,5607905.1,15.047318
73,5607905.1,15.047318
74,5607905.1,15.047318
75,5593502.8,15.149096
76,5593502.8,15.149096
77,5593502.8,15.149096
78,5593502.8,15.149096
79,5593502.8,15.149096
80,5593502.8,15.149096
81,5593502.8,15.149096
82,5593502.8,15.149096
83,5593502.8,15.149096
84,5582986.6,15.144674
85,5582986.6,15.144674
86,5582986.6,15.144674
87,5582986.6,15.144674
88,5582986.6,15.144674
89,5582986.6,15.144674
90,5582986.6,15.144674
91,5582986.6,15.144674
92,5582986.6,15.144674
93,5582986.6,15.144674
94,5582986.6,15.144674
95,5582986.6,15.144674
96,5582986.6,15.144674
97,5582986.6,15.144674
98,5582986.6,15.144674
99,5582986.6,15.144674
100,5582986.6,15.144674
101,5582986.6,15.144674
102,5582986.6,15.144674
103,5582986.6,15.144674
104,5582986.6,15.144674
105,5582986.6,15.144674
106,5582986.6,15.144674
107,5582986.6,15.144674
108,5582986.6,15.144674
109,5582986.6,15.144674
110,5582986.6,15.144674
111,5582986.6,15.144674
112,5582986.6,15.144674
113,5560735.399999999,15.2098
114,5560735.399999999,15.2098
115,5560735.399999999,15.2098
116,5560735.399999999,15.2098
117,5560735.399999999,15.2098
118,5560735.399999999,15.2098
119,5560735.399999999,15.2098
120,5560735.399999999,15.2098
121,5560735.399999999,15.2098
122,5560735.399999999,15.2098
123,5560735.399999999,15.2098
124,5560735.399999999,15.2098
125,5560735.399999999,15.2098
126,5560735.399999999,15.2098
127,5560735.399999999,15.2098
128,5560735.399999999,15.2098
129,5560735.399999999,15.2098
130,5560735.399999999,15.2098
131,5560735.399999999,15.2098
132,5560735.399999999,15.2098
133,5560735.399999999,15.2098
134,5560735.399999999,15.2098
135,5560735.399999999,15.2098
136,5560735.399999999,15.2098
137,5560735.399999999,15.2098
138,5560735.399999999,15.2098
139,5560735.399999999,15.2098
140,5560735.399999999,15.2098
141,5560735.399999999,15.2098
142,5560735.399999999,15.2098
143,5560735.399999999,15.2098
144,5560735.399999999,15.2098
145,5560735.399999999,15.2098
146,5560735.399999999,15.2098
147,5560735.399999999,15.2098
148,5560735.399999999,15.2098
149,5560735.399999999,15.2098
