gen,cost,min_pressure
0,10969797.600000001,49.623356
1,9776397.9,38.41943
2,9215380.100000001,25.752424
3,8635271.6,24.149094
4,8024135.2,14.621127
5,8568554.1,23.949211
6,8346568.0,18.553404
7,8192970.5,19.627039
8,8164142.899999999,30.090965
9,8131337.6,30.761494
10,7730701.5,17.489239
11,7730701.5,17.489239
12,7669934.0,17.6669
13,7549129.0,15.275502
14,7453064.0,19.53664
15,7406654.0,19.51871
16,7406654.0,19.51871
17,7367905.899999999,15.326646
18,7367905.899999999,15.326646
19,7367905.899999999,15.326646
20,7367905.899999999,15.326646
21,7367905.899999999,15.326646
22,7262878.9,15.444548
23,7160140.5,17.907173
24,7007508.899999999,19.46065
25,7007508.899999999,19.46065
26,7007508.899999999,19.46065
27,6942251.399999999,17.68889
28,6942251.399999999,17.68889
29,6942251.399999999,17.68889
30,6942251.399999999,17.68889
31,6835927.5,15.903657
32,6835927.5,15.903657
33,6748377.7,20.642967
34,6711648.5,15.495495
35,6672888.0,16.976019
36,6672888.0,16.976019
37,6667220.2,16.922962
38,6594864.0,18.008898
39,6497367.5,16.20298
40,6489992.7,15.442272
41,6404181.8,17.177526
42,6404181.8,17.177526
43,6404181.8,17.177526
44,6404181.8,17.177526
45,6404181.8,17.177526
46,6295382.2,15.543565
47,6295382.2,15.543565
48,6213465.6,17.486938
49,6213465.6,17.486938
50,6213465.6,17.486938
51,6213465.6,17.486938
52,6213465.6,17.486938
53,6213465.6,17.486938
54,6182792.3,17.537329
55,6113257.7,14.931953
56,6122013.7,16.599333
57,6122013.7,16.599333
58,6085309.2,15.69742
59,6040120.2,16.390425
60,6040120.2,16.390425
61,5978737.7,15.281109
62,5978737.7,15.281109
63,5978737.7,15.281109
64,5978737.7,15.281109
65,5969233.3,16.161348
66,5969233.3,16.161348
67,5948036.8,16.376465
68,5948036.8,16.376465
69,5948036.8,16.376465
70,5948036.8,16.376465
71,5915714.3,15.979181
72,5915714.3,15.979181
73,5915714.3,15.979181
74,5915714.3,15.979181
75,5915714.3,15.979181
76,5915714.3,15.979181
77,5915714.3,15.979181
78,5914475.7,16.767975
79,5914475.7,16.767975
80,5914475.7,16.767975
81,5914475.7,16.767975
82,5914475.7,16.767975
83,5914475.7,16.767975
84,5883320.7,15.142319
85,5883320.7,15.142319
86,5883320.7,15.142319
87,5883320.7,15.142319
88,5883320.7,15.142319
89,5883320.7,15.142319
90,5883320.7,15.142319
91,5883320.7,15.142319
92,5873382.9,15.608185
93,5873382.9,15.608185
94,5873382.9,15.608185
95,5864723.2,15.11904
96,5864723.2,15.11904
97,5864723.2,15.11904
98,5864723.2,15.11904
99,5864723.2,15.11904
100,5864723.2,15.11904
101,5864723.2,15.11904
102,5864723.2,15.11904
103,5864723.2,15.11904
104,5864723.2,15.11904
105,5864723.2,15.11904
106,5864723.2,15.11904
107,5864723.2,15.11904
108,5864723.2,15.11904
109,5864723.2,15.11904
110,5864723.2,15.11904
111,5864723.2,15.11904
112,5864723.2,15.11904
113,5864723.2,15.11904
114,5835230.2,16.257147
115,5835230.2,16.257147
116,5835230.2,16.257147
117,5809876.7,15.577458
118,5809876.7,15.577458
119,5809876.7,15.577458
120,5809876.7,15.577458
121,5809876.7,15.577458
122,5809876.7,15.577458
123,5809876.7,15.577458
124,5809876.7,15.577458
125,5809876.7,15.577458
126,5809876.7,15.577458
127,5809876.7,15.577458
128,5809876.7,15.577458
129,5809876.7,15.577458
130,5809876.7,15.577458
131,5809876.7,15.577458
132,5809876.7,15.577458
133,5795471.4,15.269448
134,5795471.4,15.269448
135,5795471.4,15.269448
136,5795471.4,15.269448
137,5795471.4,15.269448
138,5795471.4,15.269448
139,5795471.4,15.269448
140,5795471.4,15.269448
141,5795471.4,15.269448
142,5795471.4,15.269448
143,5795471.4,15.269448
144,5795471.4,15.269448
145,5795471.4,15.269448
146,5795471.4,15.269448
147,5795471.4,15.269448
148,5795471.4,15.269448
149,5795471.4,15.269448
