gen,cost
0,8.930672099999999
1,7.842810399999999
2,7.842810399999999
3,7.842810399999999
4,7.842810399999999
5,7.079119599999999
6,7.079119599999999
7,7.079119599999999
8,7.079119599999999
9,7.079119599999999
10,6.9537226
11,6.9537226
12,6.9537226
13,6.9537226
14,6.9537226
15,6.938252599999999
16,6.938252599999999
17,6.938252599999999
18,6.938252599999999
19,6.938252599999999
20,6.9242576
21,6.9242576
22,6.9242576
23,6.9242576
24,6.9242576
25,6.9119226
26,6.9119226
27,6.9119226
28,6.9119226
29,6.9119226
30,6.9119226
31,6.9119226
32,6.9119226
33,6.9119226
34,6.9119226
35,6.9119226
36,6.9119226
37,6.9119226
38,6.9119226
39,6.9119226
40,6.9119226
41,6.9119226
42,6.9119226
43,6.9119226
44,6.9119226
45,6.9119226
46,6.9119226
47,6.9119226
48,6.9119226
49,6.9119226
50,6.9119226
51,6.9119226
52,6.9119226
53,6.9119226
54,6.9119226
55,6.9119226
56,6.9119226
57,6.9119226
58,6.9119226
59,6.9119226
60,6.9119226
61,6.9119226
62,6.9119226
63,6.9119226
64,6.9119226
65,6.9119226
66,6.9119226
67,6.9119226
68,6.9119226
69,6.9119226
70,6.9119226
71,6.9119226
72,6.9119226
73,6.9119226
74,6.9119226
75,6.9119226
76,6.9119226
77,6.9119226
78,6.9119226
79,6.9119226
80,6.9119226
81,6.9119226
82,6.9119226
83,6.9119226
84,6.9119226
85,6.9119226
86,6.9119226
87,6.9119226
88,6.9119226
89,6.9119226
90,6.9119226
91,6.9119226
92,6.9119226
93,6.9119226
94,6.9119226
95,6.9119226
96,6.9119226
97,6.9119226
98,6.9119226
99,6.9119226
100,6.9119226
101,6.9119226
102,6.9119226
103,6.9119226
104,6.9119226
105,6.9119226
106,6.9119226
107,6.9119226
108,6.9119226
109,6.9119226
110,6.9119226
111,6.9119226
112,6.9119226
113,6.9119226
114,6.9119226
115,6.9119226
116,6.9119226
117,6.9119226
118,6.9119226
119,6.9119226
120,6.9119226
121,6.9119226
122,6.9119226
123,6.9119226
124,6.9119226
125,6.9119226
