Run,Cost,Pressure,Feasible,Simulations,Time
1,7076831.8,30.006552,True,23172,336.4722857475281
2,6668201.5,30.008228,True,23242,333.59052085876465
3,7154589.4,30.091219,True,23165,339.28621315956116
4,7061063.899999999,30.034748,True,24953,358.3102376461029
5,6911922.6,30.000679,True,23153,329.7699022293091
