gen,cost
0,9.3652643
1,8.728872800000001
2,8.728872800000001
3,8.728872800000001
4,8.728872800000001
5,7.7422835
6,7.7422835
7,7.7422835
8,7.7422835
9,7.7422835
10,7.4115648
11,7.4115648
12,7.4115648
13,7.4115648
14,7.4115648
15,7.2651754
16,7.2651754
17,7.2651754
18,7.2651754
19,7.2651754
20,7.2063964
21,7.2063964
22,7.2063964
23,7.2063964
24,7.2063964
25,7.154589400000001
26,7.154589400000001
27,7.154589400000001
28,7.154589400000001
29,7.154589400000001
30,7.154589400000001
31,7.154589400000001
32,7.154589400000001
33,7.154589400000001
34,7.154589400000001
35,7.154589400000001
36,7.154589400000001
37,7.154589400000001
38,7.154589400000001
39,7.154589400000001
40,7.154589400000001
41,7.154589400000001
42,7.154589400000001
43,7.154589400000001
44,7.154589400000001
45,7.154589400000001
46,7.154589400000001
47,7.154589400000001
48,7.154589400000001
49,7.154589400000001
50,7.154589400000001
51,7.154589400000001
52,7.154589400000001
53,7.154589400000001
54,7.154589400000001
55,7.154589400000001
56,7.154589400000001
57,7.154589400000001
58,7.154589400000001
59,7.154589400000001
60,7.154589400000001
61,7.154589400000001
62,7.154589400000001
63,7.154589400000001
64,7.154589400000001
65,7.154589400000001
66,7.154589400000001
67,7.154589400000001
68,7.154589400000001
69,7.154589400000001
70,7.154589400000001
71,7.154589400000001
72,7.154589400000001
73,7.154589400000001
74,7.154589400000001
75,7.154589400000001
76,7.154589400000001
77,7.154589400000001
78,7.154589400000001
79,7.154589400000001
80,7.154589400000001
81,7.154589400000001
82,7.154589400000001
83,7.154589400000001
84,7.154589400000001
85,7.154589400000001
86,7.154589400000001
87,7.154589400000001
88,7.154589400000001
89,7.154589400000001
90,7.154589400000001
91,7.154589400000001
92,7.154589400000001
93,7.154589400000001
94,7.154589400000001
95,7.154589400000001
96,7.154589400000001
97,7.154589400000001
98,7.154589400000001
99,7.154589400000001
100,7.154589400000001
101,7.154589400000001
102,7.154589400000001
103,7.154589400000001
104,7.154589400000001
105,7.154589400000001
106,7.154589400000001
107,7.154589400000001
108,7.154589400000001
109,7.154589400000001
110,7.154589400000001
111,7.154589400000001
112,7.154589400000001
113,7.154589400000001
114,7.154589400000001
115,7.154589400000001
116,7.154589400000001
117,7.154589400000001
118,7.154589400000001
119,7.154589400000001
120,7.154589400000001
121,7.154589400000001
122,7.154589400000001
123,7.154589400000001
124,7.154589400000001
125,7.154589400000001
