gen,cost
0,10.9697976
1,10.9697976
2,10.9697976
3,10.9697976
4,8.2679592
5,7.5084403
6,7.5084403
7,7.5084403
8,7.5084403
9,7.5084403
10,7.221777299999999
11,7.221777299999999
12,7.1681358
13,7.1681358
14,7.1681358
15,7.1031618
16,7.1031618
17,7.1031618
18,7.1031618
19,7.1031618
20,7.0891668
21,7.0891668
22,7.0891668
23,7.0891668
24,7.0891668
25,7.0768318
26,7.0768318
27,7.0768318
28,7.0768318
29,7.0768318
30,7.0768318
31,7.0768318
32,7.0768318
33,7.0768318
34,7.0768318
35,7.0768318
36,7.0768318
37,7.0768318
38,7.0768318
39,7.0768318
40,7.0768318
41,7.0768318
42,7.0768318
43,7.0768318
44,7.0768318
45,7.0768318
46,7.0768318
47,7.0768318
48,7.0768318
49,7.0768318
50,7.0768318
51,7.0768318
52,7.0768318
53,7.0768318
54,7.0768318
55,7.0768318
56,7.0768318
57,7.0768318
58,7.0768318
59,7.0768318
60,7.0768318
61,7.0768318
62,7.0768318
63,7.0768318
64,7.0768318
65,7.0768318
66,7.0768318
67,7.0768318
68,7.0768318
69,7.0768318
70,7.0768318
71,7.0768318
72,7.0768318
73,7.0768318
74,7.0768318
75,7.0768318
76,7.0768318
77,7.0768318
78,7.0768318
79,7.0768318
80,7.0768318
81,7.0768318
82,7.0768318
83,7.0768318
84,7.0768318
85,7.0768318
86,7.0768318
87,7.0768318
88,7.0768318
89,7.0768318
90,7.0768318
91,7.0768318
92,7.0768318
93,7.0768318
94,7.0768318
95,7.0768318
96,7.0768318
97,7.0768318
98,7.0768318
99,7.0768318
100,7.0768318
101,7.0768318
102,7.0768318
103,7.0768318
104,7.0768318
105,7.0768318
106,7.0768318
107,7.0768318
108,7.0768318
109,7.0768318
110,7.0768318
111,7.0768318
112,7.0768318
113,7.0768318
114,7.0768318
115,7.0768318
116,7.0768318
117,7.0768318
118,7.0768318
119,7.0768318
120,7.0768318
121,7.0768318
122,7.0768318
123,7.0768318
124,7.0768318
125,7.0768318
