Run,Cost,Pressure,Feasible,Time
1,6379176.3,30.219236,True,61.31297421455383
2,6412003.1,30.224773,True,59.28053522109985
3,6397161.5,30.571314,True,57.540488481521606
4,6405130.8,30.25486,True,58.7947895526886
5,6405247.7,30.425716,True,60.099215507507324
