gen,cost,min_pressure
0,10969797.600000001,49.623356
1,9941871.200000001,40.12829
2,9640191.600000001,37.372536
3,9393088.5,32.737625
4,9280105.4,31.284557
5,9280105.4,31.284557
6,9241705.2,32.07797
7,8883841.8,31.19627
8,8883841.8,31.19627
9,8883841.8,31.19627
10,8830404.100000001,31.747736
11,8613202.7,32.864094
12,8343367.699999999,32.628147
13,8343367.699999999,32.628147
14,8343367.699999999,32.628147
15,8206171.2,31.354753
16,8206171.2,31.354753
17,8206171.2,31.354753
18,8206171.2,31.354753
19,8179680.7,30.046278
20,7911503.899999999,31.527948
21,7911503.899999999,31.527948
22,7911503.899999999,31.527948
23,7835240.100000001,30.387354
24,7835240.100000001,30.387354
25,7835240.100000001,30.387354
26,7804942.1,31.505577
27,7804942.1,31.505577
28,7804942.1,31.505577
29,7804942.1,31.505577
30,7382214.9,33.254055
31,7382214.9,33.254055
32,7382214.9,33.254055
33,7332782.4,34.239388
34,7204129.5,30.801651
35,7204129.5,30.801651
36,7204129.5,30.801651
37,7204129.5,30.801651
38,7191397.2,30.056454
39,7191397.2,30.056454
40,7191397.2,30.056454
41,7059861.0,31.660727
42,7008343.5,32.505863
43,7008343.5,32.505863
44,6999426.800000001,30.516855
45,6902648.0,31.049952
46,6810888.3,29.883286
47,6919881.3,30.865505
48,6880869.3,30.173492
49,6863542.9,30.461414
50,6863542.9,30.461414
51,6863542.9,30.461414
52,6854965.9,30.479925
53,6839870.5,30.715216
54,6839870.5,30.715216
55,6839870.5,30.715216
56,6799124.4,30.376682
57,6799124.4,30.376682
58,6790146.0,30.271624
59,6754398.2,30.230303
60,6754398.2,30.230303
61,6754398.2,30.230303
62,6754398.2,30.230303
63,6691020.6,30.216272
64,6691020.6,30.216272
65,6691020.6,30.216272
66,6691020.6,30.216272
67,6691020.6,30.216272
68,6687355.6,32.095375
69,6606128.1,30.562387
70,6606128.1,30.562387
71,6606128.1,30.562387
72,6606128.1,30.562387
73,6606128.1,30.562387
74,6606128.1,30.562387
75,6606128.1,30.562387
76,6606128.1,30.562387
77,6606128.1,30.562387
78,6606128.1,30.562387
79,6545555.7,30.335531
80,6545555.7,30.335531
81,6545555.7,30.335531
82,6545555.7,30.335531
83,6545555.7,30.335531
84,6544627.1,30.210388
85,6535843.1,30.29273
86,6535843.1,30.29273
87,6535843.1,30.29273
88,6535843.1,30.29273
89,6535843.1,30.29273
90,6535843.1,30.29273
91,6535843.1,30.29273
92,6535843.1,30.29273
93,6535843.1,30.29273
94,6535843.1,30.29273
95,6535843.1,30.29273
96,6535843.1,30.29273
97,6535843.1,30.29273
98,6535843.1,30.29273
99,6535843.1,30.29273
100,6535843.1,30.29273
101,6535843.1,30.29273
102,6535843.1,30.29273
103,6535843.1,30.29273
104,6535843.1,30.29273
105,6535843.1,30.29273
106,6510387.8,30.097555
107,6510387.8,30.097555
108,6463374.6,30.206606
109,6463374.6,30.206606
110,6463374.6,30.206606
111,6463374.6,30.206606
112,6463374.6,30.206606
113,6463374.6,30.206606
114,6463374.6,30.206606
115,6463374.6,30.206606
116,6463374.6,30.206606
117,6463374.6,30.206606
118,6463374.6,30.206606
119,6463374.6,30.206606
120,6463374.6,30.206606
121,6425540.6,30.316593
122,6425540.6,30.316593
123,6425540.6,30.316593
124,6425540.6,30.316593
125,6425540.6,30.316593
126,6425540.6,30.316593
127,6425540.6,30.316593
128,6425540.6,30.316593
129,6425540.6,30.316593
130,6425540.6,30.316593
131,6412003.1,30.224773
132,6412003.1,30.224773
133,6412003.1,30.224773
134,6412003.1,30.224773
135,6412003.1,30.224773
136,6412003.1,30.224773
137,6412003.1,30.224773
138,6310599.6,-83.126366
139,6444015.1,30.298267
140,6444015.1,30.298267
141,6444015.1,30.298267
142,6444015.1,30.298267
143,6415138.1,30.215546
144,6415138.1,30.215546
145,6415138.1,30.215546
146,6415138.1,30.215546
147,6415138.1,30.215546
148,6415138.1,30.215546
149,6415138.1,30.215546
