gen,cost,min_pressure
0,7717822.8,-50.240665
1,7677290.3,-0.90266865
2,6641535.300000001,-63.237553
3,7287744.399999999,-13.018495
4,7287744.399999999,-13.018495
5,7912923.7,12.430759
6,8183583.699999999,16.849094
7,8183583.699999999,16.849094
8,8183583.699999999,16.849094
9,8183583.699999999,16.849094
10,8183583.699999999,16.849094
11,8183583.699999999,16.849094
12,8183583.699999999,16.849094
13,8183583.699999999,16.849094
14,8183583.699999999,16.849094
15,8183583.699999999,16.849094
16,8183583.699999999,16.849094
17,7825208.699999999,21.036541
18,7280359.899999999,17.13388
19,7280359.899999999,17.13388
20,7280359.899999999,17.13388
21,7280359.899999999,17.13388
22,6738659.0,18.644573
23,6738659.0,18.644573
24,6738659.0,18.644573
25,6738659.0,18.644573
26,6738659.0,18.644573
27,6738659.0,18.644573
28,6738659.0,18.644573
29,6738659.0,18.644573
30,6738659.0,18.644573
31,6738659.0,18.644573
32,6708452.300000001,17.543875
33,6708452.300000001,17.543875
34,6498550.5,16.299553
35,6498550.5,16.299553
36,6498550.5,16.299553
37,6438839.100000001,16.452188
38,6438839.100000001,16.452188
39,6438839.100000001,16.452188
40,6438839.100000001,16.452188
41,6438839.100000001,16.452188
42,6438839.100000001,16.452188
43,6438839.100000001,16.452188
44,6438839.100000001,16.452188
45,6431957.2,17.771595
46,6405693.9,19.008926
47,6347085.800000001,17.050898
48,6347085.800000001,17.050898
49,6347085.800000001,17.050898
50,6327978.0,17.72316
51,6327978.0,17.72316
52,6327978.0,17.72316
53,6248632.600000001,16.491325
54,6053697.100000001,16.044474
55,6053697.100000001,16.044474
56,6053697.100000001,16.044474
57,6052809.399999999,15.205843
58,6052809.399999999,15.205843
59,6052809.399999999,15.205843
60,6052809.399999999,15.205843
61,6052809.399999999,15.205843
62,6052809.399999999,15.205843
63,6052809.399999999,15.205843
64,6030426.600000001,15.527723
65,6030426.600000001,15.527723
66,6030426.600000001,15.527723
67,6030426.600000001,15.527723
68,6030426.600000001,15.527723
69,6030426.600000001,15.527723
70,6030426.600000001,15.527723
71,5973336.600000001,15.417876
72,5973336.600000001,15.417876
