Run,Cost,Pressure,Feasible,Time
1,6126561.9,30.244745,True,551.426611661911
2,6112993.4,30.152401,True,541.6663308143616
3,6395065.8,30.676556,True,482.3553686141968
4,6174480.7,30.112497,True,552.4749279022217
5,6117798.4,30.262295,True,463.49587988853455
